id,N,shots,created,validation_s,compile_s,queue_s,execution_s,postproc_s,billing_window_s,init_teardown_s,credit_cost
019de994-2b36-7122-b1db-ace11ef0ec31,28,500,2026-05-02T16:44:54.984050Z,0.081881,1.992008,3.387591,6.135451,0.025641,8.127459,1.9920080000000002,6.75
019de994-68cf-7e11-9a19-2c026cad3de9,28,500,2026-05-02T16:45:10.757031Z,0.872599,1.220083,5.590695,6.147445,0.0269,7.367528,1.2200829999999998,6.0
019de994-aa9b-7c31-a826-39985343e8b3,28,500,2026-05-02T16:45:27.599592Z,0.882064,1.228828,4.456999,6.171213,0.034402,7.400041,1.228828,6.0
019de994-edf5-7e40-ae2f-a9831aed8c78,28,500,2026-05-02T16:45:44.842773Z,0.10281,2.000928,4.023381,6.17434,0.026553,8.175268,2.000928000000001,6.75
019de995-2a76-70b3-ab2e-1e65c5c83ca5,28,500,2026-05-02T16:46:00.330583Z,0.066605,1.218317,4.882031,6.13793,0.056645,7.356247,1.2183169999999999,6.0
019de995-6939-7003-84e4-4f2609632607,28,500,2026-05-02T16:46:16.396472Z,0.099616,1.214427,4.706142,6.164368,0.036635,7.378795,1.2144270000000006,6.0
019de995-a5ff-7223-a244-3fe80bb59c95,28,500,2026-05-02T16:46:31.954977Z,0.795456,1.192429,4.182814,6.164314,0.035286,7.356743,1.1924289999999997,6.0
019de995-e4d7-7502-af3f-bc5d4c072205,28,500,2026-05-02T16:46:48.047578Z,0.097021,1.988605,4.58402,6.185855,0.028027,8.17446,1.9886049999999997,6.75
019de996-2775-7ad0-aecf-3b11b25a60ef,28,500,2026-05-02T16:47:05.095738Z,0.100702,1.893397,3.457169,6.175308,0.033931,8.068705,1.8933969999999993,6.75
019de996-641e-7a50-93fa-1378d19a7d89,28,500,2026-05-02T16:47:20.627830Z,0.096211,1.210371,4.851844,6.079674,0.035458,7.290045,1.2103710000000003,6.0
019de996-a6b0-7403-8070-7cd41ce33155,28,500,2026-05-02T16:47:37.666424Z,0.097285,1.218811,3.672679,6.172579,0.036138,7.39139,1.2188110000000005,6.0
019de996-de99-7542-be7f-61a5db5910fd,28,500,2026-05-02T16:47:51.979315Z,0.102343,1.985578,4.084002,6.178691,0.035637,8.164269,1.9855780000000012,6.75
019de997-1d28-75a3-b65f-46561af8de7e,28,500,2026-05-02T16:48:07.994398Z,0.098959,1.188233,4.869334,6.179336,0.037376,7.367569,1.1882329999999994,6.0
019de997-5c81-77f3-a342-b42c5afe2bd9,28,500,2026-05-02T16:48:24.212590Z,0.861704,1.198824,5.481541,6.129831,0.035585,7.328655,1.1988240000000001,6.0
019de997-9d4e-7722-808c-41b28c1bc073,28,500,2026-05-02T16:48:40.799358Z,0.097539,1.206373,4.273314,6.179264,0.05894,7.385637,1.2063730000000001,6.0
019de997-dbc1-7233-97d2-159733779e4e,28,500,2026-05-02T16:48:56.787367Z,0.099434,1.939931,4.692174,6.148769,0.036442,8.0887,1.9399309999999996,6.75
019de998-1cb4-7d91-802a-b79e9ed07fe5,28,500,2026-05-02T16:49:13.415945Z,0.101759,2.026159,3.462221,6.17243,0.03718,8.198589,2.026159,6.75
019de998-58ee-7d33-aded-4128070702ea,28,500,2026-05-02T16:49:28.831885Z,0.877601,1.190184,5.587346,6.108998,0.031657,7.299182,1.1901840000000004,6.0
019de998-9b7d-7bf2-aee6-54f674656e28,28,500,2026-05-02T16:49:45.871658Z,0.847422,1.190337,4.359712,6.181627,0.028484,7.371964,1.1903370000000004,6.0
019de998-d829-73d3-b2bb-bff9d779874e,28,500,2026-05-02T16:50:01.406230Z,0.10163,1.966736,4.024871,6.187103,0.036003,8.153839,1.966736,6.75
019de999-169b-7251-8dfe-b9d35394c69c,28,500,2026-05-02T16:50:17.393244Z,0.097751,1.191617,4.068307,6.0972,0.037328,7.288817,1.191617,6.0
019de999-52f9-7150-9fe0-860b7df85ce2,28,500,2026-05-02T16:50:32.844934Z,0.100861,1.22163,4.770976,6.173079,0.029031,7.394709,1.2216299999999993,6.0
019de999-92de-7272-9eb0-93c0c98abf89,28,500,2026-05-02T16:50:49.201971Z,0.099162,1.200757,3.538596,6.151738,0.038019,7.352495,1.2007570000000003,6.0
019de999-cb9d-7f70-953a-87491bdb759b,28,500,2026-05-02T16:51:03.728510Z,0.098491,1.909857,4.090722,6.163951,0.026676,8.073808,1.9098569999999997,6.75
019de99a-07aa-7e01-bd7d-564889c243b3,28,500,2026-05-02T16:51:19.106669Z,0.098417,2.074888,4.252268,6.189616,0.055065,8.264504,2.0748880000000005,6.75
019de99a-4afb-7731-b946-bec74121e151,28,500,2026-05-02T16:51:36.335217Z,0.096848,1.229009,5.664704,6.172481,0.034124,7.40149,1.2290089999999996,6.0
019de99a-8e69-7700-8ae4-c34ec9191e88,28,500,2026-05-02T16:51:53.596598Z,0.095337,1.25385,4.386395,6.134647,0.113184,7.388497,1.25385,6.0
019de99a-cc5f-70d1-a1ea-a5b4a4a78195,28,500,2026-05-02T16:52:09.458136Z,0.098853,2.007683,4.091585,6.167055,0.034087,8.174738,2.007682999999999,6.75
019de99b-08d3-72d0-b093-79ee8c3fab4f,28,500,2026-05-02T16:52:24.933424Z,0.873394,1.248596,4.879689,6.152719,0.028763,7.401315,1.248596,6.0
019de99b-4d34-73a0-85d6-a64c8e27c32d,28,500,2026-05-02T16:52:42.440772Z,0.833428,1.244613,4.870781,6.132298,0.05512,7.376911,1.2446130000000002,6.0
019de99b-8f7a-7500-986f-3e3b276ccbde,28,500,2026-05-02T16:52:59.403985Z,0.095917,1.938449,4.79305,6.171397,0.032353,8.109846,1.9384489999999994,6.75
019de99b-cfa2-7dc3-99b8-bbbff41cef17,28,500,2026-05-02T16:53:15.831629Z,0.096541,2.045594,4.322228,6.149185,0.035241,8.194779,2.0455940000000004,6.75
019de99c-30f9-7273-adf5-b5bf5a5a8215,273,500,2026-05-02T16:53:40.851397Z,1.411519,6.691914,4.823598,56.729569,0.282838,63.421483,6.691914000000004,48.0
019de9ab-e240-70a0-9f13-1d7edad76c51,28,500,2026-05-02T17:10:49.170594Z,0.092341,1.283393,3.994887,6.139171,0.037569,7.422564,1.2833930000000002,6.0
019de9ac-239c-7ca0-b2d0-476e0bf54bf2,28,500,2026-05-02T17:11:05.904003Z,0.100099,1.242215,5.496243,6.191863,0.036967,7.434078,1.2422150000000007,6.0
019de9ac-68ee-7540-a530-fcae1cb605e9,28,500,2026-05-02T17:11:23.648043Z,0.097871,1.913451,4.020933,6.151314,0.027645,8.064765,1.9134509999999993,6.75
